1452205209620	1210	1510	965	
1452205314732	1302	1495	965	
1452205419846	1386	1452	965	
1452205524958	1452	1386	965	
1452205630071	1495	1302	965	
1452205735181	1510	1210	965	
1452205840291	1495	1117	965	
1452205945402	1452	1033	965	
1452206050513	1386	967	965	
1452206155626	1302	924	965	
1452206260737	1210	910	965	
1452206365856	1117	924	965	
1452206470966	1033	967	965	
1452206576080	967	1033	965	
1452206681187	924	1117	965	
1452206786296	910	1210	965	
1452206891404	924	1302	965	
1452206996513	967	1386	965	
1452207101623	1033	1452	965	
1452207206736	1117	1495	965	
1452207311845	1210	1546	965	
1452207416958	1313	1529	965	
1452207522068	1407	1481	965	
1452207627177	1481	1407	965	
1452207732286	1529	1313	965	
1452207837399	1546	1210	965	
1452207942513	1529	1106	965	
1452208047626	1481	1012	965	
1452208152737	1407	938	965	
1452208257845	1313	890	965	
1452208362956	1210	874	965	
1452208468064	1106	890	965	
1452208573175	1012	938	965	
1452208678286	938	1012	965	
1452208783394	890	1106	965	
1452208888535	874	1210	965	
1452208993646	890	1313	965	
1452209098754	938	1407	965	
1452209203865	1012	1481	965	
1452209308975	1106	1529	965	
1452209414087	1210	1582	965	
1452209519196	1324	1563	965	
1452209624309	1428	1510	965	
1452209729421	1510	1428	965	
1452209834535	1563	1324	965	
1452209939653	1582	1210	965	
1452210044782	1563	1095	965	
1452210149891	1510	991	965	
1452210255001	1428	909	965	
1452210360112	1324	856	965	
1452210465221	1210	838	965	
1452210570333	1095	856	965	
1452210675443	991	909	965	
1452210780552	909	991	965	
1452210885661	856	1095	965	
1452210990770	838	1210	965	
1452211095881	856	1324	965	
1452211201003	909	1428	965	
1452211306114	991	1510	965	
1452211411223	1095	1563	965	
1452211516334	1210	1618	965	
1452211621455	1336	1598	965	
1452211726565	1449	1540	965	
1452211831677	1540	1449	965	
1452211936790	1598	1336	965	
1452212041900	1618	1210	965	
1452212147010	1598	1083	965	
1452212252118	1540	970	965	
1452212357230	1449	879	965	
1452212462342	1336	821	965	
1452212567450	1210	802	965	
1452212672559	1083	821	965	
1452212777671	970	879	965	
1452212882781	879	970	965	
1452212987893	821	1083	965	
1452213093002	802	1210	965	
